GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,OA_CODE,OA_NAME,AREA_METADATA,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009080,Birmingham 038B,00CNFN0022,00CNFN0022,,102,16,33,27,17,9
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009079,Birmingham 038A,00CNFN0023,00CNFN0023,,111,22,42,34,13,0
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009079,Birmingham 038A,00CNFN0024,00CNFN0024,,104,16,40,25,18,5
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009080,Birmingham 038B,00CNFN0025,00CNFN0025,,117,15,34,47,16,5
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009079,Birmingham 038A,00CNFN0026,00CNFN0026,,87,8,35,27,14,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009081,Birmingham 038C,00CNFN0027,00CNFN0027,,130,24,40,41,22,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009080,Birmingham 038B,00CNFN0028,00CNFN0028,,126,13,44,44,21,4
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009080,Birmingham 038B,00CNFN0029,00CNFN0029,,137,19,56,34,24,4
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009079,Birmingham 038A,00CNFN0030,00CNFN0030,,113,16,41,44,9,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009079,Birmingham 038A,00CNFN0031,00CNFN0031,,145,28,50,51,13,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009081,Birmingham 038C,00CNFN0032,00CNFN0032,,144,15,46,54,26,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009081,Birmingham 038C,00CNFN0033,00CNFN0033,,118,31,37,35,15,0
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009083,Birmingham 038D,00CNFN0034,00CNFN0034,,101,6,31,44,20,0
F,West Midlands,,,00CN,Birmingham,E02001870,Birmingham 044,E01009082,Birmingham 044A,00CNFN0035,00CNFN0035,,123,16,42,41,24,0
F,West Midlands,,,00CN,Birmingham,E02001870,Birmingham 044,E01009082,Birmingham 044A,00CNFN0036,00CNFN0036,,132,25,46,43,18,0
F,West Midlands,,,00CN,Birmingham,E02001870,Birmingham 044,E01009082,Birmingham 044A,00CNFN0037,00CNFN0037,,125,19,47,36,23,0
F,West Midlands,,,00CN,Birmingham,E02001870,Birmingham 044,E01009082,Birmingham 044A,00CNFN0038,00CNFN0038,,127,23,60,34,10,0
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009083,Birmingham 038D,00CNFN0039,00CNFN0039,,128,18,49,36,21,4
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009083,Birmingham 038D,00CNFN0040,00CNFN0040,,123,38,41,28,13,3
